docID,length
X5,136
X140,135
X162,214
X382,124
X493,119
X497,334
X792,128
X816,247
X877,430
X894,222
X1067,241
X1177,471
X1574,277
X1650,120
X1752,323
X1926,152
X2191,194
X2292,219
X2508,222
X2520,150
X2602,307
X2688,118
X2778,122
X2949,397
X3036,565
X3076,157
X3343,501
X3503,396
X3552,320
X3687,186
X3747,139
X3831,372
X4039,264
X4278,97
X4547,188
X4554,105
X4685,139
X4686,802
X4776,435
X4843,586
X4874,321
X5118,276
X5124,150
X5286,579
X5313,195
X5380,173
X5543,145
X5781,112
X5996,299
X6061,104
X6166,193
X6286,114
X6348,171
X6376,169
X6398,528
X6424,281
X6440,166
X6527,100
X6668,117
X6857,160
X6956,115
X7025,153
X7492,179
X7569,153
X7576,136
X7853,165
X7956,156
X8121,151
X8158,220
X8218,119
X8258,328
X8295,102
X8370,157
X8395,177
X8496,112
X8603,181
X9111,166
X9166,107
X9850,239
X9912,238
X10176,207
X10221,327
X10300,156
X10343,217
X10600,213
X10705,221
X10952,171
X10960,245
X11384,119
X11427,208
X11739,180
X11772,101
X11800,224
X11857,134
X11982,171
X12188,220
X12612,299
X12698,153
X13017,242
X13208,160
