"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"2",0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"3",0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"4",0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"5",0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"6",0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.8,0.8,0.8
"7",0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.8,0.8,0.8
"8",0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.8,0.8,0.8
"9",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8,0.8,0.8
"10",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8,0.8,0.8
"11",0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"12",0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"13",0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"14",0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"15",0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"16",0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"17",0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1
"18",0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1
"19",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1
"20",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1
"21",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1
"22",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1
"23",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
